pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Transcriptional misregulation in cancer - Homo sapiens (human),KEGG,18,MDM2;PDGFA;NCOR1;FOXO1;JMJD1C;KMT2A;HMGA2;KDM6A;MLLT3;FUT8;ITGB7;MEF2C;ATF1;MAX;DDX5;IGF1R;HHEX;CCND2,185 (186),0.0039,0.15,0,,0 (0),1,1,0.0039,0.15
Regulation of nuclear SMAD2/3 signaling,PID,10,SKIL;LAMC1;FOXO1;NCOA1;NCOR1;IL10;MEF2C;MAX;NR3C1;COL1A2,77 (78),0.00395,0.15,0,,0 (1),1,1,0.00395,0.15
Cell adhesion molecules (CAMs) - Homo sapiens (human),KEGG,15,F11R;ITGAL;CLDN7;CD274;SDC3;NEGR1;CD28;CD80;SDC1;ITGB7;SDC4;CTLA4;ALCAM;PDCD1LG2;CD276,143 (144),0.00402,0.15,0,,0 (0),1,1,0.00402,0.15
Clathrin-mediated endocytosis,Reactome,9,REPS2;VAMP4;SYT8;RAB5B;GAPVD1;STAM;FCHO2;ARPC2;STON2,138 (138),0.228,0.948,2,HMDB00658#HMDB10370;HMDB01201,12 (16),0.012,0.202,0.0188,0.152
transcription factor creb and its extracellular signals,BioCarta,4,CAMK2D;PRKCA;PIK3CA;CAMK2A,27 (27),0.0398,0.456,1,HMDB01201,5 (5),0.0695,0.374,0.0191,0.152
t cell receptor signaling pathway,BioCarta,6,PRKCA;ARHGAP6;ARFGAP3;NCF2;PIK3CA;PPP3CC,55 (55),0.0495,0.51,1,HMDB01201,4 (5),0.056,0.374,0.0191,0.152
Formation of the cornified envelope,Reactome,1,ST14,75 (75),0.976,1,2,HMDB04951;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,6 (9),0.00287,0.0845,0.0193,0.152
African trypanosomiasis - Homo sapiens (human),KEGG,5,PLCB4;IL10;F2RL1;PRKCA;IL18,34 (35),0.023,0.359,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,9 (10),0.122,0.512,0.0193,0.152
Unfolded Protein Response (UPR),Reactome,5,ERN1;EIF2AK3;CREB3L2;SERP1;CREBRF,21 (21),0.00283,0.131,0,,4 (4),1,1,0.0194,0.152
Keratinization,Reactome,2,ST14;KRT7,129 (129),0.988,1,2,HMDB04951;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,6 (9),0.00287,0.0845,0.0195,0.152
DNA strand elongation,Reactome,0,,32 (32),1,1,2,HMDB00288;HMDB01397,6 (6),0.00287,0.0845,0.0197,0.152
Acyl chain remodeling of CL,Reactome,0,,6 (6),1,1,2,HMDB10384;HMDB08048#HMDB08036#HMDB08038,6 (12),0.00287,0.0845,0.0197,0.152
Lagging Strand Synthesis,Reactome,0,,20 (20),1,1,2,HMDB00288;HMDB01397,6 (6),0.00287,0.0845,0.0197,0.152
mRNA Capping,Reactome,0,,29 (29),1,1,2,HMDB01201;HMDB01397,6 (7),0.00287,0.0845,0.0197,0.152
mRNA decay by 5_ to 3_ exoribonuclease,Reactome,0,,15 (15),1,1,2,HMDB00288;HMDB01397,6 (7),0.00287,0.0845,0.0197,0.152
Thromboxane A2 receptor signaling,PID,7,BLK;MAPK11;PRKCA;PIK3CG;PRKCZ;GNG2;RAB11A,56 (57),0.0181,0.323,1,HMDB01201,12 (12),0.159,0.616,0.0197,0.152
Glycosphingolipid biosynthesis - neolactoseries,EHMN,1,FUT1,16 (16),0.549,1,2,HMDB00295;HMDB01201,8 (48),0.00526,0.118,0.0198,0.152
Semaphorin interactions,Reactome,7,ARHGEF11;ARHGEF12;PLXNC1;PAK1;PLXNA1;NRP1;FARP2,64 (64),0.0349,0.426,1,HMDB01201,6 (6),0.0829,0.406,0.0198,0.152
Proteoglycan biosynthesis,EHMN,2,CHPF;CHST3,30 (30),0.432,1,2,HMDB00288;HMDB00295,9 (19),0.0067,0.14,0.0198,0.152
Phospholipid Biosynthesis,SMPDB,1,PLD2,28 (28),0.752,1,3,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038,23 (24),0.00388,0.0983,0.02,0.153
metabolism of anandamide an endogenous cannabinoid,BioCarta,2,PLD2;FAAH,7 (7),0.042,0.472,1,HMDB01043,5 (6),0.0695,0.374,0.02,0.153
Chemokine signaling pathway - Homo sapiens (human),KEGG,15,BRAF;PAK1;PLCB4;CXCL3;PIK3CA;CXCL10;CXCR4;PIK3CG;AKT3;STAT1;GRK5;PRKCZ;RAP1B;GNG2;BCAR1,189 (189),0.0421,0.472,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,5 (5),0.0695,0.374,0.02,0.153
Globo Sphingolipid Metabolism,Wikipathways,3,ST6GAL1;FUT1;B3GALT5,20 (20),0.0703,0.613,1,HMDB11592#HMDB06750,3 (3),0.0423,0.338,0.0203,0.154
Phosphatidylinositol signaling system - Homo sapiens (human),KEGG,12,PIKFYVE;PLCD3;PIK3C2B;PRKCA;INPP1;ITPR2;DGKH;PLCB4;INPP4B;IPMK;PLCG2;PIK3CA,99 (99),0.003,0.135,0,,21 (29),1,1,0.0204,0.155
Pyrimidine nucleotides nucleosides metabolism,INOH,3,CTPS2;ENTPD4;CMPK1,51 (51),0.453,1,4,HMDB00288;HMDB00618#HMDB01548;HMDB00295;HMDB01546,54 (56),0.00662,0.14,0.0204,0.155
ErbB signaling pathway - Homo sapiens (human),KEGG,8,BRAF;PAK1;PIK3CA;CAMK2A;AKT3;CAMK2D;PLCG2;PRKCA,85 (85),0.0539,0.531,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,4 (4),0.056,0.374,0.0205,0.155
Signaling by Interleukins,Reactome,23,IL10;JAK1;HGF;IL18;MEF2C;PIK3CA;SQSTM1;RPS6KA2;RPS6KA3;BLNK;CASP1;CASP3;PELI1;IRAK3;ATF1;IL18BP;TEC;MAPK11;SDC1;IL5RA;STAT1;MAP3K3;IL27,254 (254),0.00303,0.135,0,,4 (14),1,1,0.0206,0.155
Deadenylation-dependent mRNA decay,Reactome,2,EIF4A2;CNOT6L,56 (56),0.763,1,2,HMDB00288;HMDB01397,7 (11),0.00398,0.0983,0.0207,0.155
Ephrin B reverse signaling,PID,3,BLK;PIK3CA;PTPN13,24 (24),0.108,0.739,1,HMDB01201,2 (2),0.0284,0.317,0.0209,0.156
Post NMDA receptor activation events,Reactome,5,BRAF;CAMK2A;RPS6KA2;RPS6KA3;CAMK2D,35 (35),0.0258,0.382,1,HMDB01201,9 (9),0.122,0.512,0.0213,0.158
Platelet homeostasis,Reactome,3,PDE1A;GNG2;ITPR2,89 (89),0.814,1,3,HMDB00658#HMDB10370;HMDB01201;HMDB01397,23 (28),0.00388,0.0983,0.0213,0.158
Synthesis of very long-chain fatty acyl-CoAs,Reactome,3,ELOVL7;HACD4;HACD3,24 (24),0.108,0.739,2,HMDB00220;HMDB01043,19 (27),0.0291,0.317,0.0213,0.158
ctcf: first multivalent nuclear factor,BioCarta,5,MDM2;PIK3CA;TGFBR1;CD79B;CD79A,23 (23),0.00431,0.158,0,,0 (0),1,1,0.00431,0.158
Cell surface interactions at the vascular wall,Wikipathways,0,,0 (0),1,1,2,HMDB00658#HMDB10370;HMDB01201,10 (11),0.00831,0.159,0.00831,0.159
Signaling by ERBB2,Wikipathways,0,,0 (0),1,1,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,10 (12),0.00831,0.159,0.00831,0.159
Digestion,Wikipathways,0,,0 (0),1,1,3,HMDB00220;HMDB00658#HMDB10370;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,30 (43),0.00832,0.159,0.00832,0.159
Endochondral Ossification,Wikipathways,9,COL2A1;IGF1R;BMP6;ENPP1;MEF2C;BMPR1A;STAT1;ADAMTS5;PTCH1,63 (63),0.00321,0.139,0,,2 (4),1,1,0.0216,0.159
Insulin secretion - Homo sapiens (human),KEGG,9,ATP1B3;KCNN4;PRKCA;CACNA1S;CAMK2A;CAMK2D;ATF4;PLCB4;CREB3L2,85 (85),0.0219,0.353,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,11 (13),0.147,0.579,0.0216,0.159
Metabolism of vitamins and cofactors,Reactome,13,NADK;SDC3;PTGIS;SLC23A1;ALDH1L2;PTS;SDC1;ENPP1;SDC4;SLC46A1;ACP5;NAMPT;GPC4,178 (181),0.0931,0.698,5,HMDB00220;HMDB00673;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB00658#HMDB10370;HMDB00159,130 (180),0.0349,0.338,0.0219,0.16
Reactions specific to the complex N-glycan synthesis pathway,Reactome,1,FUT8,10 (10),0.392,1,2,HMDB00295;HMDB01201,10 (19),0.00831,0.159,0.0219,0.16
Visual signal transduction: Rods,PID,2,PDE6A;RDH12,24 (24),0.326,1,2,HMDB01201;HMDB08048#HMDB08036#HMDB08038,11 (13),0.0101,0.18,0.0221,0.161
Th1 and Th2 cell differentiation - Homo sapiens (human),KEGG,8,MAPK11;MAPK13;JAK1;STAT1;TBX21;MAML2;MAPK12;PPP3CC,92 (92),0.0781,0.662,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,3 (3),0.0423,0.338,0.0222,0.161
Purine nucleotides nucleosides metabolism,INOH,4,PDE1A;PDE6A;XDH;ENTPD4,107 (108),0.77,1,5,HMDB00618#HMDB01548;HMDB01044;HMDB00536;HMDB01201;HMDB01397,78 (80),0.00438,0.104,0.0226,0.162
Signaling events regulated by Ret tyrosine kinase,PID,4,BCAR1;PRKCA;IRS2;PIK3CA,39 (39),0.119,0.779,1,HMDB01201,2 (2),0.0284,0.317,0.0226,0.162
CREB phosphorylation,Reactome,3,ATF1;RPS6KA2;RPS6KA3,7 (7),0.00344,0.143,0,,2 (2),1,1,0.023,0.162
Glycerophospholipid catabolism,Reactome,3,GDPD5;GDPD3;PNPLA7,7 (7),0.00344,0.143,0,,6 (11),1,1,0.023,0.162
Glycogen synthetase deficiency,SMPDB,4,GBE1;PGM2L1;PYGL;MGAM,18 (18),0.00978,0.24,1,HMDB00295,30 (30),0.353,1,0.023,0.162
Glycogenosis_ Type III. Cori disease_ Debrancher glycogenosis,SMPDB,4,GBE1;PGM2L1;PYGL;MGAM,18 (18),0.00978,0.24,1,HMDB00295,30 (30),0.353,1,0.023,0.162
Mucopolysaccharidosis VI. Sly syndrome,SMPDB,4,GBE1;PGM2L1;PYGL;MGAM,18 (18),0.00978,0.24,1,HMDB00295,30 (30),0.353,1,0.023,0.162
Sucrase-isomaltase deficiency,SMPDB,4,GBE1;PGM2L1;PYGL;MGAM,18 (18),0.00978,0.24,1,HMDB00295,30 (30),0.353,1,0.023,0.162
Glycogenosis_ Type IV. Amylopectinosis_ Anderson disease,SMPDB,4,GBE1;PGM2L1;PYGL;MGAM,18 (18),0.00978,0.24,1,HMDB00295,30 (30),0.353,1,0.023,0.162
Glycogenosis_ Type VI. Hers disease,SMPDB,4,GBE1;PGM2L1;PYGL;MGAM,18 (18),0.00978,0.24,1,HMDB00295,30 (30),0.353,1,0.023,0.162
Starch and Sucrose Metabolism,SMPDB,4,GBE1;PGM2L1;PYGL;MGAM,18 (18),0.00978,0.24,1,HMDB00295,30 (30),0.353,1,0.023,0.162
Gastrin-CREB signalling pathway via PKC and MAPK,Reactome,3,PRKCA;RPS6KA2;RPS6KA3,19 (19),0.0619,0.569,1,HMDB01201,4 (5),0.056,0.374,0.0231,0.162
Glycerophospholipid metabolism,EHMN,8,ALDH3A2;PLA2G12A;ATP8B2;DGKH;ALDH7A1;SLC3A2;PLD2;PCYT1B,136 (136),0.341,1,4,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038;HMDB00658#HMDB10370;HMDB10384,61 (96),0.0102,0.181,0.0231,0.162
p75(NTR)-mediated signaling,PID,6,CASP3;APH1B;BIRC2;PIK3CA;SQSTM1;PRKCZ,70 (71),0.124,0.798,1,HMDB01201,2 (2),0.0284,0.317,0.0234,0.163
CD28 dependent PI3K/Akt signaling,Reactome,5,AKT3;PIK3CA;CD28;CD80;PRR5,22 (22),0.00351,0.143,0,,3 (4),1,1,0.0234,0.163
Purine metabolism - Homo sapiens (human),KEGG,6,XDH;ENTPD4;PDE1A;PDE6A;ENPP1;POLR1A,173 (174),0.851,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,77 (95),0.00414,0.1,0.0234,0.163
Pertussis - Homo sapiens (human),KEGG,10,MAPK11;IL10;MAPK13;CASP3;SERPING1;IRF1;CASP1;NLRP3;LY96;MAPK12,76 (76),0.00359,0.143,0,,7 (10),1,1,0.0238,0.165
Resistin as a regulator of inflammation,Wikipathways,6,PLCD3;PIK3CA;PIK3CG;AKT3;PLCB4;PLCG2,33 (33),0.00462,0.166,0,,0 (0),1,1,0.00462,0.166
Vibrio cholerae infection - Homo sapiens (human),KEGG,6,PDIA4;PRKCA;ATP6V1E1;ATP6V0A1;PLCG2;SLC12A2,50 (50),0.0332,0.411,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,8 (9),0.109,0.479,0.0239,0.166
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages,BioCarta,4,GJA1;PIK3CA;LY96;EHHADH,40 (40),0.128,0.798,1,HMDB04951,2 (3),0.0284,0.317,0.024,0.166
Ibuprofen Action Pathway,SMPDB,4,PDIA4;PTGIS;TBXAS1;ALOX12,50 (50),0.224,0.937,4,HMDB10384;HMDB00295;HMDB01043;HMDB08048#HMDB08036#HMDB08038,70 (77),0.0163,0.246,0.0242,0.166
Signaling by ERBB2,Reactome,3,AKT3;PRKCA;PIK3CA,50 (50),0.441,1,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,10 (12),0.00831,0.159,0.0242,0.166
MET in type 1 papillary renal cell carcinoma,Wikipathways,6,BRAF;PAK1;PIK3CA;AKT3;RAP1B;HGF,59 (59),0.0656,0.598,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,4 (4),0.056,0.374,0.0243,0.166
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling,BioCarta,4,MEF2C;PRKCA;BCAR1;PAK1,35 (35),0.088,0.697,1,HMDB01201,3 (3),0.0423,0.338,0.0245,0.167
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide_ LLO) and transfer to a nascent protein,Reactome,4,DPM3;ST6GAL1;ST8SIA6;GFPT1,78 (78),0.529,1,4,HMDB00288;HMDB00295;HMDB01546;HMDB01201,55 (81),0.00707,0.146,0.0246,0.167
Mercaptopurine Action Pathway,SMPDB,1,XDH,47 (47),0.904,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,77 (84),0.00414,0.1,0.0247,0.167
EGFR Inhibitor Pathway_ Pharmacodynamics,PharmGKB,9,JAK1;PIK3CA;PIK3CG;CAMK2A;AKT3;CAMK2D;STAT1;PLCG2;PRKCA,67 (67),0.00488,0.167,0,,0 (4),1,1,0.00488,0.167
Corticotropin-releasing hormone signaling pathway,Wikipathways,11,BRAF;CASP3;ERN1;GJA1;PRKCA;RAPGEF3;CAMK2A;CACNA1H;RAP1B;IL18;PLCG2,92 (92),0.00489,0.167,0,,0 (0),1,1,0.00489,0.167
BMP2 signaling TAK1,INOH,4,MAPK11;BMPR1A;MAPK13;MAPK12,15 (15),0.0049,0.167,0,,0 (0),1,1,0.0049,0.167
miRNA targets in ECM and membrane receptors,Wikipathways,7,COL3A1;MIR7-1;MIR15B;COL5A2;LAMC1;TNXB;COL1A2,44 (44),0.00493,0.167,0,,0 (0),1,1,0.00493,0.167
Insulin Signalling,SMPDB,3,INSR;IRS2;PIK3CG,17 (17),0.0466,0.497,1,HMDB01201,6 (6),0.0829,0.406,0.0253,0.171
Signaling by SCF-KIT,Reactome,5,PRKCA;STAT1;GRAP2;TEC;PIK3CA,43 (43),0.056,0.537,1,HMDB01201,5 (6),0.0695,0.374,0.0255,0.171
CDC42 signaling events,PID,7,BRAF;PAK1;PIK3CA;ARHGEF6;PRKCZ;BCAR1;ARPC2,71 (71),0.0562,0.537,1,HMDB01201,5 (5),0.0695,0.374,0.0256,0.171
Celecoxib Action Pathway,SMPDB,3,TBXAS1;PTGIS;ALOX12,36 (36),0.254,1,4,HMDB10384;HMDB00295;HMDB01043;HMDB08048#HMDB08036#HMDB08038,69 (76),0.0156,0.239,0.0258,0.171
Azathioprine Action Pathway,SMPDB,1,XDH,47 (47),0.904,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,78 (86),0.00438,0.104,0.0259,0.171
Thioguanine Action Pathway,SMPDB,1,XDH,47 (47),0.904,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,78 (85),0.00438,0.104,0.0259,0.171
mRNA decay by 3_ to 5_ exoribonuclease,Reactome,0,,16 (16),1,1,2,HMDB00288;HMDB01397,7 (10),0.00398,0.0983,0.026,0.171
Synthesis of dolichyl-phosphate-glucose,Reactome,0,,2 (2),1,1,2,HMDB00288;HMDB00295,7 (7),0.00398,0.0983,0.026,0.171
O-Glycan biosynthesis,EHMN,0,,37 (37),1,1,2,HMDB00288;HMDB00295,7 (17),0.00398,0.0983,0.026,0.171
Epstein-Barr virus infection - Homo sapiens (human),KEGG,19,BLNK;MDM2;ITGAL;JAK1;CIR1;PIK3CA;CXCL10;OAS3;BTK;AKT3;MAPK13;STAT1;MAPK11;B2M;PLCG2;CASP3;MAPK12;TAP1;CCND2,200 (201),0.004,0.15,0,,3 (3),1,1,0.0261,0.171
Nucleobase biosynthesis,Reactome,0,,15 (15),1,1,4,HMDB00288;HMDB00536;HMDB01201;HMDB01397,47 (48),0.00401,0.0984,0.0261,0.171
protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation,HumanCyc,1,OGT,2 (2),0.0948,0.698,1,HMDB00295,3 (5),0.0423,0.338,0.0261,0.171
Parathyroid hormone synthesis_ secretion and action - Homo sapiens (human),KEGG,10,BRAF;ARHGEF11;PRKCA;MEF2C;PLCB4;BGLAP;ATF4;PLD2;CREB3L2;ITPR2,106 (106),0.0331,0.411,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,9 (10),0.122,0.512,0.0262,0.171
cGMP-PKG signaling pathway - Homo sapiens (human),KEGG,14,AKT3;ATP1B3;CACNA1S;IRS2;PIK3CG;PPP3CC;MEF2C;PPP1R12A;PLCB4;EDNRA;ATF4;INSR;CREB3L2;ITPR2,163 (163),0.0275,0.396,1,HMDB01397,11 (14),0.147,0.579,0.0262,0.171
Angiopoietin receptor Tie2-mediated signaling,PID,6,PAK1;FOXO1;PIK3CA;BMX;MMP2;PLD2,50 (50),0.0332,0.411,1,HMDB01201,9 (10),0.122,0.512,0.0263,0.171
Neuronal System,Reactome,19,SYN3;MDM2;UNC13B;CACNA1E;PRKCA;KCNN4;DLG2;CAMK2A;PPFIBP1;CAMK2D;GLUL;RPS6KA2;RPS6KA3;GLS;BRAF;GNG2;STXBP1;CASK;PPFIBP2,367 (368),0.42,1,4,HMDB00220;HMDB00806;HMDB01201;HMDB01043,60 (65),0.00961,0.18,0.0263,0.171
Chromosomal and microsatellite instability in colorectal cancer,Wikipathways,6,BRAF;CASP3;TGFBR1;AKT3;EXOC2;DCC,73 (73),0.143,0.826,1,HMDB01043,2 (2),0.0284,0.317,0.0264,0.171
Neurotransmitter release cycle,Wikipathways,0,,0 (0),1,1,3,HMDB00220;HMDB00806;HMDB01043,31 (37),0.00912,0.172,0.00912,0.172
Signaling by FGFR,Reactome,4,MKNK1;PIK3CA;FGFR2;BRAF,87 (87),0.616,1,2,HMDB00295;HMDB01201,9 (11),0.0067,0.14,0.0268,0.173
Statin Pathway,Wikipathways,1,ACSS1,31 (31),0.787,1,2,HMDB00658#HMDB10370;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,8 (17),0.00526,0.118,0.0269,0.173
RAB GEFs exchange GTP for GDP on RABs,Reactome,8,DENND5B;RAB6B;RAB5B;AKT3;GAPVD1;RIN2;DENND2D;DENND1B,91 (91),0.0743,0.64,1,HMDB01201,4 (4),0.056,0.374,0.027,0.174
CD4 T cell receptor signaling-NFkB cascade,INOH,8,PSMB9;PIK3CA;CD28;CD80;AKT3;CARD11;PSMA3;PLCG2,97 (97),0.0989,0.701,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,3 (4),0.0423,0.338,0.0271,0.174
Signaling by NTRKs,Reactome,9,MAPK11;BRAF;ADORA2A;PIK3CA;MEF2C;ATF1;IRS2;RPS6KA3;RPS6KA2,89 (89),0.0285,0.399,1,HMDB01201,11 (12),0.147,0.579,0.0271,0.174
Th17 cell differentiation - Homo sapiens (human),KEGG,9,MAPK11;MAPK13;JAK1;TGFBR1;IRF4;STAT1;TBX21;MAPK12;PPP3CC,107 (107),0.0757,0.644,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,4 (4),0.056,0.374,0.0274,0.175
yaci and bcma stimulation of b cell immune responses,BioCarta,3,TNFRSF17;TNFSF13B;TNFRSF13B,8 (8),0.00531,0.178,0,,0 (0),1,1,0.00531,0.178
adp-ribosylation factor,BioCarta,3,NCF2;ARHGAP6;ARFGAP3,28 (28),0.153,0.859,1,HMDB01201,2 (2),0.0284,0.317,0.0279,0.178
De novo fatty acid biosynthesis,EHMN,1,ACOT7,43 (43),0.883,1,3,HMDB00220;HMDB00806;HMDB00944,25 (59),0.00495,0.117,0.0281,0.179
Signaling by PDGF,Reactome,6,PDGFA;PDGFRA;PIK3CA;STAT1;PDGFD;BCAR1,54 (54),0.0459,0.495,1,HMDB01201,7 (13),0.096,0.441,0.0283,0.18
Clathrin-mediated endocytosis,Wikipathways,0,,0 (0),1,1,2,HMDB00658#HMDB10370;HMDB01201,11 (15),0.0101,0.18,0.0101,0.18
VxPx cargo-targeting to cilium,Reactome,3,EXOC2;ARF4;RAB11A,21 (21),0.0792,0.666,1,HMDB01201,4 (4),0.056,0.374,0.0285,0.18
DAP12 interactions,Reactome,5,PLCG2;GRAP2;BTK;PIK3CA;B2M,45 (45),0.0657,0.598,1,HMDB01201,5 (6),0.0695,0.374,0.0292,0.184
vegf hypoxia and angiogenesis,BioCarta,4,FLT4;PRKCA;BCAR1;PIK3CA,30 (30),0.0555,0.535,1,HMDB01201,6 (6),0.0829,0.406,0.0294,0.185
NOD1/2 Signaling Pathway,Reactome,6,MAPK11;CASP1;MAPK13;CYLD;BIRC2;MAPK12,33 (33),0.00462,0.166,0,,2 (4),1,1,0.0294,0.185
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PID,4,HGF;ITGA3;BCAR1;PDGFD,44 (44),0.164,0.867,1,HMDB01201,2 (4),0.0284,0.317,0.0296,0.186
Synthesis of Hepoxilins (HX) and Trioxilins (TrX),Reactome,1,ALOX12,1 (1),0.0486,0.503,1,HMDB01043,7 (8),0.096,0.441,0.0297,0.186
MAPK Cascade,Wikipathways,3,BRAF;MAPK12;MAP3K3,29 (29),0.165,0.867,1,HMDB01201,2 (2),0.0284,0.317,0.0298,0.186
CXCR3-mediated signaling events,PID,4,MAPK11;CXCL10;PIK3CA;GNG2,38 (38),0.111,0.747,1,HMDB01201,3 (3),0.0423,0.338,0.0299,0.186
insulin,INOH,7,FOXO1;PIK3CA;AKT3;IRS2;EIF4A2;INSR;PRKAG2,78 (78),0.084,0.681,1,HMDB01201,4 (5),0.056,0.374,0.0299,0.186
Ion transport by P-type ATPases,Reactome,8,ATP11B;ATP1B3;ATP8B2;CAMK2A;CAMK2D;ATP11A;ATP2C1;ATP9A,55 (55),0.00478,0.167,0,,12 (17),1,1,0.0303,0.188
Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),KEGG,14,MAPK11;MAPK13;JAK1;CXCL3;PIK3CA;PIK3CG;PPP3CC;AKT3;STAT1;PLCG2;CASP3;GNG2;MAPK12;ITPR2,186 (186),0.0691,0.611,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,5 (5),0.0695,0.374,0.0304,0.188
Integrin alphaIIb beta3 signaling,Reactome,4,RAP1B;RAPGEF3;BCAR1;APBB1IP,27 (27),0.0398,0.456,1,HMDB01201,9 (12),0.122,0.512,0.0307,0.188
Integrin signaling,Reactome,4,RAP1B;RAPGEF3;BCAR1;APBB1IP,27 (27),0.0398,0.456,1,HMDB01201,9 (12),0.122,0.512,0.0307,0.188
Chondroitin sulfate biosynthesis,Reactome,3,CHPF;CHST3;NCAN,20 (20),0.0703,0.613,1,HMDB00295,5 (5),0.0695,0.374,0.0309,0.189
mRNA_ protein_ and metabolite inducation pathway by cyclosporin A,Wikipathways,2,SLC3A2;ATF4,6 (6),0.031,0.399,1,HMDB00158,12 (13),0.159,0.616,0.0311,0.19
Pyrimidine metabolism,Wikipathways,5,CMPK1;CTPS2;CMPK2;POLR1A;ENPP1,84 (84),0.387,1,3,HMDB00288;HMDB00295;HMDB01546,35 (40),0.0128,0.214,0.0312,0.19
skeletal muscle hypertrophy is regulated via akt-mtor pathway,BioCarta,3,IGF1R;MKNK1;PIK3CA,25 (25),0.119,0.779,1,HMDB01201,3 (3),0.0423,0.338,0.0317,0.192
tpo signaling pathway,BioCarta,3,PRKCA;STAT1;PIK3CA,25 (25),0.119,0.779,1,HMDB01201,3 (3),0.0423,0.338,0.0317,0.192
Keratan sulfate biosynthesis,Reactome,1,CHST1,28 (28),0.752,1,2,HMDB00288;HMDB00295,9 (9),0.0067,0.14,0.0317,0.192
Pre-NOTCH Expression and Processing,Reactome,2,MAML2;AGO4,42 (42),0.612,1,2,HMDB00295;HMDB01201,10 (10),0.00831,0.159,0.0319,0.193
RAC1 signaling pathway,PID,5,ABI2;NCF2;PAK1;BCAR1;ARPC2,54 (54),0.12,0.781,1,HMDB01201,3 (3),0.0423,0.338,0.032,0.193
mapkinase signaling pathway,BioCarta,8,MAPK11;PAK1;MAPK13;MEF2C;STAT1;MAX;MAP3K3;MAPK12,57 (57),0.00596,0.194,0,,0 (0),1,1,0.00596,0.194
Regulation of Ras family activation,PID,4,PRKCA;RASGRP3;RASAL1;PRKCZ,33 (34),0.0741,0.64,1,HMDB01201,5 (5),0.0695,0.374,0.0323,0.194
ABC transporters in lipid homeostasis,Reactome,3,ABCD2;ABCA6;ABCA5,18 (18),0.054,0.531,1,HMDB08048#HMDB08036#HMDB08038,7 (11),0.096,0.441,0.0325,0.195
FAS (CD95) signaling pathway,PID,6,MAPK11;CASP3;CFLAR;BIRC2;PIK3CA;BTK,35 (35),0.00623,0.196,0,,0 (1),1,1,0.00623,0.196
VEGFR3 signaling in lymphatic endothelium,PID,5,MAPK11;PIK3CA;FLT4;COL1A1;COL1A2,25 (25),0.00629,0.196,0,,0 (0),1,1,0.00629,0.196
Proton Pump Inhibitor Pathway_ Pharmacodynamics,PharmGKB,7,PLCD3;PIK3C2B;PRKCA;AKT3;PLCB4;PRKCZ;PLCG2,46 (46),0.00633,0.196,0,,0 (0),1,1,0.00633,0.196
